"GB_flag","Флаг хороший/ плохой (таргет)"
"total_amount_kzt","Сумма выдачи займа в тенге"
"overdueinstalmentcount_po_subektu","Макс. кол-во дней просрочки за все время по всем текущим займам на момент выдачи"
"term","Продолжительность контракта при выдаче, дни"
"was_canceled","Списывался у Физ.лица ли какой-либо займ до моменты выдачи текущего займа"
"GENDER","Пол заёмщика"
"CLASSIFICATION","Классификация Физ лица"
"RESIDENCY","Гражданство"
"EDUCATION","Образование"
"MARITALSTATUS","Семейное положение"
"NEGATIVESTATUS","Негативный статус"
"PROFESSION","Название профессии	"
"ECONOMYACTIVITYGROUP","Отрасль экономики"
"EMPLOYMENTNATURE","Вид деятельности"
"SALARY","Заработная плата по данным БДКИ	"
"DEPENDANTS_LT18","Количество иждивенцев до 18 лет"
"DEPENDANTS_GT18","Количество иждивенцев старше 18 лет"
"AGE","Число полных лет"
"NUM_CONTRACT_BVU","Кол-во контрактов заёмщика в БВУ до расчетной даты"
"NUM_CONTRACT_MFO","Кол-во контрактов заёмщика в МФО до расчетной даты"
"NUM_CONTRACT_PDL","Кол-во контрактов заёмщика в PDL до расчетной даты"
"NUM_CONTRACT_OTHERS","Кол-во контрактов заёмщика в иных до расчетной даты"
"NUM_COLLATERAL","Количество залогового имущество за все время существования в БДКИ субъекта (до расчетной даты)"
"NUM_USAGES","Количество запросов за все время существования в БДКИ субъекта (до расчетной даты)"
"CNT_3D","Количество запросов за последние 3 дня до расчетной даты субъекта"
"CNT_1M","Количество запросов за последние 1 месяцов до расчетной даты субъекта"
"CNT_3M","Количество запросов за последние 3 месяцов до расчетной даты субъекта"
"CNT_6M","Количество запросов за последние 6 месяцов до расчетной даты субъекта"
"MAX_PEAKS_OVERDUECOUNT_LAST_2Y","Максимальное количество пиков (т. е. начало и конец пика строго равно 0) среди всех контрактов субъекта за два года до расчетной даты"
"MEAN_PEAKS_OVERDUECOUNT_LAST_2Y","Среднее количество пиков по всем контрактам субъекта за два года до расчетной даты"
"MEAN_SIG_PEAKS_OVERDUECOUNT_LAST_2Y","Среднее количество взвешенных пиков по всем контрактам субъекта за два года до расчетной даты, т.е. в одном контракте субъекта могут быть несколько пиков "
"SUM_SIG_PEAKS_OVERDUECOUNT_LAST_2Y","Сумма всех взвешенных пиков субъекта по каждым контрактом за два года до расчетной даты"
"MONTH_OVERDUE_C0","Максимальное количество просрочек по всем его кредитам за 1 месяц до расчетной даты"
"MONTH_OVERDUE_C1","Максимальное количество просрочек по всем его кредитам за 2 месяца до расчетной даты"
"MONTH_OVERDUE_C2","Максимальное количество просрочек по всем его кредитам за 3 месяца до расчетной даты"
"MONTH_OVERDUE_C3","Максимальное количество просрочек по всем его кредитам за 4 месяца до расчетной даты"
"MONTH_OVERDUE_C4","Максимальное количество просрочек по всем его кредитам за 5 месяцев до расчетной даты"
"MONTH_OVERDUE_C5","Максимальное количество просрочек по всем его кредитам за 6 месяцев до расчетной даты"
"MONTH_OVERDUE_C6","Максимальное количество просрочек по всем его кредитам за 7 месяцев до расчетной даты"
"MONTH_OVERDUE_C7","Максимальное количество просрочек по всем его кредитам за 8 месяцев до расчетной даты"
"MONTH_OVERDUE_C8","Максимальное количество просрочек по всем его кредитам за 9 месяцев до расчетной даты"
"MONTH_OVERDUE_C9","Максимальное количество просрочек по всем его кредитам за 10 месяцев до расчетной даты"
